[DEBUG] [2021-07-07 19:00:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 247922ee40264343b3aba67a08cb22dd, msgType : 19
[DEBUG] [2021-07-07 19:08:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f08ddbbc24ac4e319618b49c76682228, msgType : 19
[DEBUG] [2021-07-07 19:08:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d0547988034143e29a3123ee71953f25, msgType : 19
[DEBUG] [2021-07-07 19:08:36] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 63c2ea4452b341c1b237c1ada185d84d, msgType : 19
[DEBUG] [2021-07-07 19:08:36] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 60d2c5f12b6044b3a5341de5d2607546, msgType : 19
[DEBUG] [2021-07-07 19:08:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 2f0fab5f1cce4e3dbbdfcbdb8f6fa238, msgType : 19
[DEBUG] [2021-07-07 19:08:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : cc0081f5e55d4c2fa9e86650db9c5fdb, msgType : 19
[DEBUG] [2021-07-07 19:08:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 421d474a80064a8fabfdc54961957dfc, msgType : 19
[DEBUG] [2021-07-07 19:08:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8c6fda9d4e2b43ea998fdfe09b7d13c4, msgType : 19
[DEBUG] [2021-07-07 19:08:38] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 4386268ce4b748c38f7e591b258e4dc0, msgType : 19
[DEBUG] [2021-07-07 19:08:38] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f273c295bd4e460898edc41febb83439, msgType : 19
[DEBUG] [2021-07-07 19:08:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d4688d367e13435cac76217ae3284325, msgType : 19
[DEBUG] [2021-07-07 19:08:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 2ffb0879f3464f66978b955fb3ec6a63, msgType : 19
[DEBUG] [2021-07-07 19:08:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 72b98b1b975549cc876dd758ccf3c385, msgType : 19
[DEBUG] [2021-07-07 19:08:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : fe6101c37de344158f137f914661868a, msgType : 19
[DEBUG] [2021-07-07 19:08:40] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ab464956638946d5877cac83cbe3ddd2, msgType : 19
[DEBUG] [2021-07-07 19:08:40] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 062e117176d04c9892b7a6df80d19615, msgType : 19
[DEBUG] [2021-07-07 19:08:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 38c303f4d4914ac7a89573cf14ad28ea, msgType : 19
[DEBUG] [2021-07-07 19:08:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b54cac9dd2124481aa0f920c7a988d9c, msgType : 19
[DEBUG] [2021-07-07 19:08:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c9210fee4b4849588576ab9a7061d784, msgType : 19
[DEBUG] [2021-07-07 19:08:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 89074ecc7a2d4c0ab8d9f43591ce01c4, msgType : 19
[DEBUG] [2021-07-07 19:08:42] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 6ba0184517804c40bcd73e74e05c1033, msgType : 19
[DEBUG] [2021-07-07 19:08:42] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 58e55f73b92d4f249c16d61988d4cdab, msgType : 19
[DEBUG] [2021-07-07 19:08:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 0aca5e654e8541c2b95ffd3919096e5f, msgType : 19
[DEBUG] [2021-07-07 19:08:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b3ea905d365f4c379cf02ae657b3bdbd, msgType : 19
[DEBUG] [2021-07-07 19:08:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : db78f02f3eeb4c8592d41b20a514e872, msgType : 19
[DEBUG] [2021-07-07 19:08:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 4cd8afb9f8594beba3421a4823b32133, msgType : 19
[DEBUG] [2021-07-07 19:08:44] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 49e75d666a584112841f2bb910af92fb, msgType : 19
[DEBUG] [2021-07-07 19:08:44] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c55688535a1f42718bdd93afa978a774, msgType : 19
[DEBUG] [2021-07-07 19:08:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 85fafb8b40164d80950d9434df74c643, msgType : 19
[DEBUG] [2021-07-07 19:08:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d751ce82a0254d8699f51ef265073ee2, msgType : 19
[DEBUG] [2021-07-07 19:08:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 79c9758707d54d639874642e949e196d, msgType : 19
[DEBUG] [2021-07-07 19:08:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 175a396371674309b2a04e1a995efb87, msgType : 19
[DEBUG] [2021-07-07 19:08:46] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 6f1148f74c414dd1b0e1c7329bedb7b4, msgType : 19
[DEBUG] [2021-07-07 19:08:46] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 40c5be92e83545df8e628667a7bd5e20, msgType : 19
[DEBUG] [2021-07-07 19:08:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : bf305412ad9549b49d911239c6d4f3fd, msgType : 19
[DEBUG] [2021-07-07 19:08:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5cb7ee72275c4d099e4d20a337ad68bf, msgType : 19
[DEBUG] [2021-07-07 19:08:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d626298e46c24d81a5ff9f495524a03d, msgType : 19
[DEBUG] [2021-07-07 19:08:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5ae1bab252fe4f4e803b24534d8bd40b, msgType : 19
[DEBUG] [2021-07-07 19:08:48] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 2268623df98740b190610975aac1f6a0, msgType : 19
[DEBUG] [2021-07-07 19:08:48] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9c68fec46af14305920ee1c8ba3f12cf, msgType : 19
[DEBUG] [2021-07-07 19:08:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 1fde836f90ad4035a0a6bbd5adcdf1a0, msgType : 19
[DEBUG] [2021-07-07 19:08:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 2fe398ca803b4486ad771fcc25c28fda, msgType : 19
[DEBUG] [2021-07-07 19:08:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 471890a29f1a493b9957c22d5d3ce875, msgType : 19
[DEBUG] [2021-07-07 19:08:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 82e90c23d8c042009debcc6940faab89, msgType : 19
[DEBUG] [2021-07-07 19:08:50] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 52d3859063ca4221b015cf4ef75b2506, msgType : 19
[DEBUG] [2021-07-07 19:08:50] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 1e3ac20299ff47d2ba80590d75d5fd2c, msgType : 19
[DEBUG] [2021-07-07 19:08:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c8332946e76c4ae89e1ae9efb4a04718, msgType : 19
[DEBUG] [2021-07-07 19:08:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ed9499d4d86c41169d12ddbf47e03a57, msgType : 19
[DEBUG] [2021-07-07 19:08:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0d5c90950d334357adc6853743762930, msgType : 19
[DEBUG] [2021-07-07 19:08:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 2f8068f00f9b41cab416168f323d515b, msgType : 19
[DEBUG] [2021-07-07 19:08:52] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 81e381bae0d6410c8f93d75ea87cc6ea, msgType : 19
[DEBUG] [2021-07-07 19:08:52] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f6431edac9fd476ab7f94bd034b7af1b, msgType : 19
[DEBUG] [2021-07-07 19:08:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ecfb09f78fa6424497c661b413804b71, msgType : 19
[DEBUG] [2021-07-07 19:08:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 535e66b074674894ae07b68b4bd7811f, msgType : 19
[DEBUG] [2021-07-07 19:08:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 559b6044a06c4224a0658235000171c0, msgType : 19
[DEBUG] [2021-07-07 19:08:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 51216289e73c4bb3b901108fa9cef79c, msgType : 19
[DEBUG] [2021-07-07 19:08:54] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 68bea03cc2ef4f31911b5569eba0802a, msgType : 19
[DEBUG] [2021-07-07 19:08:54] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : cb097c90beca4186bdc7e0692f4a5652, msgType : 19
[DEBUG] [2021-07-07 19:08:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d657f6dde8284735843e0f1db93dc508, msgType : 19
[DEBUG] [2021-07-07 19:08:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : babcc3b1fbb3429e810373f504c81fb3, msgType : 19
[DEBUG] [2021-07-07 19:08:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f43c17384f8b4fe897380977d1d4ae66, msgType : 19
[DEBUG] [2021-07-07 19:08:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 24c2f772732f4d13b0858f6088087708, msgType : 19
[DEBUG] [2021-07-07 19:08:56] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f7d592547db0402f8f40c582b2dcf01a, msgType : 19
[DEBUG] [2021-07-07 19:08:56] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 581c9f6d28d64dd196235313f66da13d, msgType : 19
[DEBUG] [2021-07-07 19:08:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 72f3614b29174812ac8b72bff5eab333, msgType : 19
[DEBUG] [2021-07-07 19:08:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 6e2360cb77834dc4a267e23219abe0bc, msgType : 19
[DEBUG] [2021-07-07 19:08:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8899996620dc474f9460b27bad13e6cd, msgType : 19
[DEBUG] [2021-07-07 19:08:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c4caa2bc62a74d9b844adbba6eb34ef7, msgType : 19
[DEBUG] [2021-07-07 19:08:58] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 6c0260c886904629a97010e1900df9ee, msgType : 19
[DEBUG] [2021-07-07 19:08:58] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8c1b3983c9234f58b66f7d45197ffb7a, msgType : 19
[DEBUG] [2021-07-07 19:08:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5b4d8734638f445db46703b01b538a03, msgType : 19
[DEBUG] [2021-07-07 19:08:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9f7559abb7414b0c8ae57eda7408296f, msgType : 19
[DEBUG] [2021-07-07 19:08:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 249a52a6b0e6489383bfcd0a6113ae0f, msgType : 19
[DEBUG] [2021-07-07 19:08:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d2903d46ddce4ec28e77360b57d26601, msgType : 19
[DEBUG] [2021-07-07 19:09:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e7cafe552bac4c4db068aef073439f94, msgType : 19
[DEBUG] [2021-07-07 19:09:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 1e912457df4042949762a2f0f6ee556b, msgType : 19
[DEBUG] [2021-07-07 19:09:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 85bc892e79344382b25583490e17e49b, msgType : 19
[DEBUG] [2021-07-07 19:09:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e657eb3d9dc14186aab50af4cbcd0286, msgType : 19
[DEBUG] [2021-07-07 19:09:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 177b191a93184ba78b4158a2b9e31a02, msgType : 19
[DEBUG] [2021-07-07 19:09:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 598ff2f99dc641e19adaed1a32cdab20, msgType : 19
[DEBUG] [2021-07-07 19:09:02] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 1b91b6b5385a451c90aff7a1cfa7e951, msgType : 19
[DEBUG] [2021-07-07 19:09:02] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9ba3cf4eb8fd45b2aced390dd6a188e5, msgType : 19
[DEBUG] [2021-07-07 19:09:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a7b2c5529cc84a2facf2e02467fc9cd6, msgType : 19
[DEBUG] [2021-07-07 19:09:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ff474cf8abb04d5b833ae0e42c96b9fa, msgType : 19
[DEBUG] [2021-07-07 19:09:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ceceb3c36b504d1aa4a2a64eac3bd03a, msgType : 19
[DEBUG] [2021-07-07 19:09:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9d45203018b64a0786a21d92a92eb04a, msgType : 19
[DEBUG] [2021-07-07 19:09:04] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c75f46ee2ca8481da3bd751ec01f27e6, msgType : 19
[DEBUG] [2021-07-07 19:09:04] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9947640464c845fbaaafe3509cbf8114, msgType : 19
[DEBUG] [2021-07-07 19:09:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 502d4a17c0f247e59bfe4b6e6a85931f, msgType : 19
[DEBUG] [2021-07-07 19:09:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 3d52a816117a439a95e77da926c81d0f, msgType : 19
[DEBUG] [2021-07-07 19:09:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 32ed80d8652747e787219f84ff8c6fd2, msgType : 19
[DEBUG] [2021-07-07 19:09:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c5fa4feea96a4cc383d8e33afdc090b1, msgType : 19
[DEBUG] [2021-07-07 19:09:06] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 487784e1ee0b4d6fa83cf22fbb0a6366, msgType : 19
[DEBUG] [2021-07-07 19:09:06] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 1715fc451dd242a385c13e5106f3bfb4, msgType : 19
[DEBUG] [2021-07-07 19:09:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 7f7e88745fc64275b7ad431fa4cf1123, msgType : 19
[DEBUG] [2021-07-07 19:09:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 2b54f51e788c460cb149d9f1c2936928, msgType : 19
[DEBUG] [2021-07-07 19:09:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9707d6500b26486bb806545257c117d7, msgType : 19
[DEBUG] [2021-07-07 19:09:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 1920653efb8f46bebd69eafe3697d10f, msgType : 19
[DEBUG] [2021-07-07 19:09:08] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8c7b9645cd9c457c8a579d4881d95d22, msgType : 19
[DEBUG] [2021-07-07 19:09:08] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e687a50ed9904bfbb4d4f0a828bbcf7a, msgType : 19
[DEBUG] [2021-07-07 19:09:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 933ab3a6c4214bf1b76fb95e0786578c, msgType : 19
[DEBUG] [2021-07-07 19:09:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 1c3a48d20d184edba60a44fdc27c9b6c, msgType : 19
[DEBUG] [2021-07-07 19:09:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0c4f631be80149fba86b5f1a9e8ab97a, msgType : 19
[DEBUG] [2021-07-07 19:09:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ffb5587f399144b2bd033f340b1f6e74, msgType : 19
[DEBUG] [2021-07-07 19:09:10] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 80151a88e5e74930a78c579f476f31db, msgType : 19
[DEBUG] [2021-07-07 19:09:10] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f7d46cf3db164416b6f976a4db59942c, msgType : 19
[DEBUG] [2021-07-07 19:09:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0c66c64a7ee54feabe80d920e3742baa, msgType : 19
[DEBUG] [2021-07-07 19:09:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f98062397c604d3e827d710010d985c0, msgType : 19
[DEBUG] [2021-07-07 19:09:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 68d4207392cd4d11869b37a53beb0aab, msgType : 18
[DEBUG] [2021-07-07 19:09:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : bacf2d7a3e834339896905e6090a055e, msgType : 18
[DEBUG] [2021-07-07 19:09:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ae447fd7ae31465fabc8125ce30735d9, msgType : 19
[DEBUG] [2021-07-07 19:09:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ffea8f375663464e8a68d418ae8ac535, msgType : 19
[DEBUG] [2021-07-07 19:09:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c03a0421d5f044c696e62f5f2cb979f4, msgType : 19
[DEBUG] [2021-07-07 19:09:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7a8f48b1f3e94bc481ec8fb1563bcfa2, msgType : 19
[DEBUG] [2021-07-07 19:09:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d467b51a12164afc982faff0c4a93f02, msgType : 19
[DEBUG] [2021-07-07 19:09:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b5ca0dba4e144c69939117d6860ff582, msgType : 19
[DEBUG] [2021-07-07 19:09:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d2046600f66b4bd8a8ef10d06855c987, msgType : 19
[DEBUG] [2021-07-07 19:09:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5efb5ad4f37a44e99ee282c303993a01, msgType : 19
[DEBUG] [2021-07-07 19:09:14] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : cdc1a27ee9464cfc9fb7bfb3c156a76a, msgType : 19
[DEBUG] [2021-07-07 19:09:14] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 6d35784987424e3d97f4b16971527f94, msgType : 19
[DEBUG] [2021-07-07 19:09:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8de3a03e485e4b9792bf0006684c7837, msgType : 19
[DEBUG] [2021-07-07 19:09:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 397a7c8910d341b5b7f0605858ea0102, msgType : 19
[DEBUG] [2021-07-07 19:09:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 3255118857a448018b4d98677311c750, msgType : 19
[DEBUG] [2021-07-07 19:09:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d26839afa40548599a362a2eda25c224, msgType : 19
[DEBUG] [2021-07-07 19:09:16] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d751e066118b4521aa399f037a725743, msgType : 19
[DEBUG] [2021-07-07 19:09:16] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d3c1555e3d7b4b97849c278094705deb, msgType : 19
[DEBUG] [2021-07-07 19:09:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e1277ffdd4a84e8598a6e4db862c3c91, msgType : 19
[DEBUG] [2021-07-07 19:09:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8c2a3cf836764f1687dba914bfd05457, msgType : 19
[DEBUG] [2021-07-07 19:09:17] LogFormatUtils.traceDebug(90) | POST "/v1/usr/user/insert_User", parameters={}
[DEBUG] [2021-07-07 19:09:17] AbstractHandlerMapping.getHandler(420) | Mapped to public org.fisco.bcos.trace.VO.Result org.fisco.bcos.trace.controller.NewController.insert_User(org.fisco.bcos.trace.pojo.User) throws java.lang.Exception
[DEBUG] [2021-07-07 19:09:17] LogFormatUtils.traceDebug(90) | Read "application/json;charset=UTF-8" to [org.fisco.bcos.trace.pojo.User@7d900ca0]
[DEBUG] [2021-07-07 19:09:17] AbstractApplicationContext.prepareRefresh(590) | Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@77431eaf
[DEBUG] [2021-07-07 19:09:17] XmlBeanDefinitionReader.doLoadBeanDefinitions(395) | Loaded 3 bean definitions from class path resource [applicationContext.xml]
[DEBUG] [2021-07-07 19:09:17] DefaultSingletonBeanRegistry.getSingleton(213) | Creating shared instance of singleton bean 'defaultConfigProperty'
[DEBUG] [2021-07-07 19:09:17] DefaultSingletonBeanRegistry.getSingleton(213) | Creating shared instance of singleton bean 'defaultConfigOption'
