[DEBUG] [2021-07-09 11:22:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 124730023b9c40e8bc81d7422ddf26a0, msgType : 19
[DEBUG] [2021-07-09 11:23:11] ChannelMsgHandler.onConnect(112) | onConnect in ChannelMsgHandler called, host : 127.0.0.1:20201
[DEBUG] [2021-07-09 11:23:11] ChannelMsgHandler.onConnect(112) | onConnect in ChannelMsgHandler called, host : 127.0.0.1:20200
[DEBUG] [2021-07-09 11:23:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3bf5dc345c824471adb59bfc76f92f16, msgType : 18
[DEBUG] [2021-07-09 11:23:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b87b6ecf2525421183cb1d8850bbea7e, msgType : 18
[INFO] [2021-07-09 11:23:11] ChannelMsgHandler$1.onResponse(225) |  node: ClientVersion{version='2.7.2', supportedVersion='2.7.2', chainId='1', buildTime='20210201 10:03:03', buildType='Linux/clang/Release', gitBranch='HEAD', gitCommitHash='4c8a5bbe44c19db8a002017ff9dbb16d3d28e9da'}, content: {"id":1,"jsonrpc":"2.0","result":{"Build Time":"20210201 10:03:03","Build Type":"Linux/clang/Release","Chain Id":"1","FISCO-BCOS Version":"2.7.2","Git Branch":"HEAD","Git Commit Hash":"4c8a5bbe44c19db8a002017ff9dbb16d3d28e9da","Supported Version":"2.7.2"}}

[INFO] [2021-07-09 11:23:11] ChannelMsgHandler$1.onResponse(225) |  node: ClientVersion{version='2.7.2', supportedVersion='2.7.2', chainId='1', buildTime='20210201 10:03:03', buildType='Linux/clang/Release', gitBranch='HEAD', gitCommitHash='4c8a5bbe44c19db8a002017ff9dbb16d3d28e9da'}, content: {"id":0,"jsonrpc":"2.0","result":{"Build Time":"20210201 10:03:03","Build Type":"Linux/clang/Release","Chain Id":"1","FISCO-BCOS Version":"2.7.2","Git Branch":"HEAD","Git Commit Hash":"4c8a5bbe44c19db8a002017ff9dbb16d3d28e9da","Supported Version":"2.7.2"}}

[INFO] [2021-07-09 11:23:11] ChannelMsgHandler$1.onResponse(233) |  support channel handshake node
[INFO] [2021-07-09 11:23:11] ChannelMsgHandler$1.onResponse(233) |  support channel handshake node
[DEBUG] [2021-07-09 11:23:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ef8f9928c0984e118b746dc8d6a768bd, msgType : 20
[DEBUG] [2021-07-09 11:23:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 16c96171e9da4230ae9a896f411cbfb5, msgType : 20
[INFO] [2021-07-09 11:23:11] ChannelMsgHandler$2.onResponse(309) |  channel protocol handshake success, set socket channel protocol, host: 127.0.0.1:20201, channel protocol: ChannelProtocol [protocol=3, nodeVersion=2.7.2, EnumProtocol=VERSION_3]
[INFO] [2021-07-09 11:23:11] ChannelMsgHandler$2.onResponse(309) |  channel protocol handshake success, set socket channel protocol, host: 127.0.0.1:20200, channel protocol: ChannelProtocol [protocol=3, nodeVersion=2.7.2, EnumProtocol=VERSION_3]
[INFO] [2021-07-09 11:23:11] ChannelImp.checkConnectionsToStartPeriodTask(132) |  Connect to  nodes: 127.0.0.1:20200, 127.0.0.1:20201, java version: 11.0.11 ,java vendor: Ubuntu
[DEBUG] [2021-07-09 11:23:11] ChannelImp.start(92) | Start the channel success
[INFO] [2021-07-09 11:23:11] BcosSDK.<init>(77) | create BcosSDK, start channel success, cryptoType: 0
[DEBUG] [2021-07-09 11:23:11] ThreadPoolService.<init>(37) | Create ThreadPoolService, threadName: channelProcessor, corePoolSize: 16, maxBlockingQueueSize: 102400
[INFO] [2021-07-09 11:23:11] BcosSDK.<init>(87) | create BcosSDK, start channel succ, channelProcessorThreadSize: 16, receiptProcessorThreadSize: 16
[DEBUG] [2021-07-09 11:23:11] ThreadPoolService.<init>(37) | Create ThreadPoolService, threadName: GroupManagerServiceImpl, corePoolSize: 16, maxBlockingQueueSize: 102400
[DEBUG] [2021-07-09 11:23:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5c51392e9836429a930ce36090f0aa5a, msgType : 19
[DEBUG] [2021-07-09 11:23:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : acf7e6dbd74747949f085af7c01bfc83, msgType : 19
[INFO] [2021-07-09 11:23:11] GroupManagerServiceImpl.registerBlockNumberNotifyHandler(259) | registerBlockNumberNotifyHandler
[INFO] [2021-07-09 11:23:11] GroupManagerServiceImpl.registerTransactionNotifyHandler(281) | registerTransactionNotifyHandler
[DEBUG] [2021-07-09 11:23:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 39b8537e95004014b2d010f41b454b72, msgType : 18
[DEBUG] [2021-07-09 11:23:11] GroupServiceImpl.<init>(45) | insert group: 1 for peer 127.0.0.1:20200
[DEBUG] [2021-07-09 11:23:11] GroupManagerServiceImpl.getAndUpdateBlockNumberForAllPeers(528) | g: 1, getAndUpdateBlockNumberForAllPeers, group availablePeers:[127.0.0.1:20200]
[DEBUG] [2021-07-09 11:23:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 351f0717986642869e8727efb4768b23, msgType : 18
[DEBUG] [2021-07-09 11:23:11] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 849, groupId: 1
[DEBUG] [2021-07-09 11:23:11] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 849, nodeWithLatestBlockNumber:[127.0.0.1:20200]
[DEBUG] [2021-07-09 11:23:11] GroupManagerServiceImpl.fetchAndUpdateBlockNumberInfo(542) | fetch and update the blockNumber information, groupId: 1, peer:127.0.0.1:20200, blockNumber: 849
[DEBUG] [2021-07-09 11:23:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 60e8d1bbbb944aadb619c4890a2fdcf7, msgType : 18
[DEBUG] [2021-07-09 11:23:11] GroupServiceImpl.insertNode(84) | g:1, insertNode=127.0.0.1:20201, nodeSize=2, blockNumberInfoSize=1
[DEBUG] [2021-07-09 11:23:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e522bbc987cd4385b3f81db49dfdc588, msgType : 18
[DEBUG] [2021-07-09 11:23:11] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 849, groupId: 1
[DEBUG] [2021-07-09 11:23:11] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 849, nodeWithLatestBlockNumber:[127.0.0.1:20200, 127.0.0.1:20201]
[DEBUG] [2021-07-09 11:23:11] GroupManagerServiceImpl.fetchAndUpdateBlockNumberInfo(542) | fetch and update the blockNumber information, groupId: 1, peer:127.0.0.1:20201, blockNumber: 849
[DEBUG] [2021-07-09 11:23:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ad765d30399a45f9b93c48138bd68c0c, msgType : 18
[DEBUG] [2021-07-09 11:23:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3c941080075c418cb44202130b09ff41, msgType : 18
[DEBUG] [2021-07-09 11:23:11] GroupManagerServiceImpl.start(445) | start GroupManagerService...
[INFO] [2021-07-09 11:23:11] BcosSDK.<init>(98) | create BcosSDK, create groupManagerService success
[DEBUG] [2021-07-09 11:23:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 735bcbfb5ece402e9f43e7dbd729d6fc, msgType : 18
[DEBUG] [2021-07-09 11:23:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 28a5d84740f94146b454a35a138d79e3, msgType : 18
[WARN] [2021-07-09 11:23:11] KeyTool.getMethod(309) | get method for EC5Util failed, method name: convertSpec
[WARN] [2021-07-09 11:23:11] KeyTool.getMethod(309) | get method for EC5Util failed, method name: convertSpec
[WARN] [2021-07-09 11:23:12] KeyTool.getMethod(309) | get method for EC5Util failed, method name: convertSpec
[WARN] [2021-07-09 11:23:12] KeyTool.getMethod(309) | get method for EC5Util failed, method name: convertSpec
[WARN] [2021-07-09 11:23:12] KeyTool.getMethod(309) | get method for EC5Util failed, method name: convertSpec
[WARN] [2021-07-09 11:23:12] KeyTool.getMethod(309) | get method for EC5Util failed, method name: convertSpec
[WARN] [2021-07-09 11:23:12] KeyTool.getMethod(309) | get method for EC5Util failed, method name: convertSpec
[WARN] [2021-07-09 11:23:12] KeyTool.getMethod(309) | get method for EC5Util failed, method name: convertSpec
[WARN] [2021-07-09 11:23:12] KeyTool.getMethod(309) | get method for EC5Util failed, method name: convertSpec
[WARN] [2021-07-09 11:23:12] KeyTool.getMethod(309) | get method for EC5Util failed, method name: convertSpec
[WARN] [2021-07-09 11:23:12] KeyTool.getMethod(309) | get method for EC5Util failed, method name: convertSpec
[WARN] [2021-07-09 11:23:12] KeyTool.getMethod(309) | get method for EC5Util failed, method name: convertSpec
[WARN] [2021-07-09 11:23:12] KeyTool.getMethod(309) | get method for EC5Util failed, method name: convertSpec
[WARN] [2021-07-09 11:23:12] KeyTool.getMethod(309) | get method for EC5Util failed, method name: convertSpec
[WARN] [2021-07-09 11:23:12] KeyTool.getMethod(309) | get method for EC5Util failed, method name: convertSpec
[WARN] [2021-07-09 11:23:12] KeyTool.getMethod(309) | get method for EC5Util failed, method name: convertSpec
[WARN] [2021-07-09 11:23:12] KeyTool.getMethod(309) | get method for EC5Util failed, method name: convertSpec
[WARN] [2021-07-09 11:23:12] KeyTool.getMethod(309) | get method for EC5Util failed, method name: convertSpec
[DEBUG] [2021-07-09 11:23:12] GroupManagerServiceImpl.setAmop(806) | register blockNotify for 127.0.0.1:20200, groupList: [1]
[DEBUG] [2021-07-09 11:23:12] TopicManager.updateBlockNotify(158) | update block notify, peer: 127.0.0.1:20200, groupInfo: [1]
[DEBUG] [2021-07-09 11:23:12] TopicManager.updateBlockNotify(163) | add block notify, peer: 127.0.0.1:20200, topic: _block_notify_1
[INFO] [2021-07-09 11:23:12] AmopImp.sendSubscribe(216) | update subscribe inform 2 peers
[DEBUG] [2021-07-09 11:23:12] AmopImp.updateSubscribeToPeer(238) | update topics to node, node:127.0.0.1:20200, topics:["_block_notify_1"]
[DEBUG] [2021-07-09 11:23:12] AmopImp.updateSubscribeToPeer(238) | update topics to node, node:127.0.0.1:20201, topics:[]
[DEBUG] [2021-07-09 11:23:12] GroupManagerServiceImpl.setAmop(806) | register blockNotify for 127.0.0.1:20201, groupList: [1]
[DEBUG] [2021-07-09 11:23:12] TopicManager.updateBlockNotify(158) | update block notify, peer: 127.0.0.1:20201, groupInfo: [1]
[DEBUG] [2021-07-09 11:23:12] TopicManager.updateBlockNotify(163) | add block notify, peer: 127.0.0.1:20201, topic: _block_notify_1
[INFO] [2021-07-09 11:23:12] AmopImp.sendSubscribe(216) | update subscribe inform 2 peers
[DEBUG] [2021-07-09 11:23:12] AmopImp.updateSubscribeToPeer(238) | update topics to node, node:127.0.0.1:20200, topics:["_block_notify_1"]
[DEBUG] [2021-07-09 11:23:12] AmopImp.updateSubscribeToPeer(238) | update topics to node, node:127.0.0.1:20201, topics:["_block_notify_1"]
[INFO] [2021-07-09 11:23:12] AmopImp.start(188) | amop module started
[INFO] [2021-07-09 11:23:12] AmopImp.sendSubscribe(216) | update subscribe inform 2 peers
[DEBUG] [2021-07-09 11:23:12] AmopImp.updateSubscribeToPeer(238) | update topics to node, node:127.0.0.1:20200, topics:["_block_notify_1"]
[DEBUG] [2021-07-09 11:23:12] AmopImp.updateSubscribeToPeer(238) | update topics to node, node:127.0.0.1:20201, topics:["_block_notify_1"]
[INFO] [2021-07-09 11:23:12] BcosSDK.<init>(103) | create BcosSDK, create Amop success
[DEBUG] [2021-07-09 11:23:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 2def18009d2e4eb5853aa6a646dc5eec, msgType : 18
[DEBUG] [2021-07-09 11:23:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 70aa5abbea294432937c4efd2bb0f406, msgType : 18
[DEBUG] [2021-07-09 11:23:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9e232f2188a3488f913aab3e2b382c86, msgType : 18
[DEBUG] [2021-07-09 11:23:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : a3b2fe644f164cbaa12c601ed8411510, msgType : 18
[WARN] [2021-07-09 11:23:12] KeyTool.getMethod(309) | get method for EC5Util failed, method name: convertSpec
[WARN] [2021-07-09 11:23:12] KeyTool.getMethod(309) | get method for EC5Util failed, method name: convertSpec
[WARN] [2021-07-09 11:23:12] KeyTool.getMethod(309) | get method for EC5Util failed, method name: convertSpec
[WARN] [2021-07-09 11:23:12] KeyTool.getMethod(309) | get method for EC5Util failed, method name: convertSpec
[WARN] [2021-07-09 11:23:12] KeyTool.getMethod(309) | get method for EC5Util failed, method name: convertSpec
[WARN] [2021-07-09 11:23:12] KeyTool.getMethod(309) | get method for EC5Util failed, method name: convertSpec
[INFO] [2021-07-09 11:23:12] CryptoSuite.<init>(67) | init CryptoSuite, cryptoType: 0
[WARN] [2021-07-09 11:23:12] KeyTool.getMethod(309) | get method for EC5Util failed, method name: convertSpec
[WARN] [2021-07-09 11:23:12] KeyTool.getMethod(309) | get method for EC5Util failed, method name: convertSpec
[INFO] [2021-07-09 11:23:12] Client.build(111) | build client success for group 1
[INFO] [2021-07-09 11:23:12] BcosSDK.getClient(178) | create client for group 1 success
[DEBUG] [2021-07-09 11:23:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d57c9468df99412a9a6654f9bc004709, msgType : 18
[DEBUG] [2021-07-09 11:23:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 625522d98d3e49ae866f999308459906, msgType : 18
[WARN] [2021-07-09 11:23:12] KeyTool.getMethod(309) | get method for EC5Util failed, method name: convertSpec
[WARN] [2021-07-09 11:23:12] KeyTool.getMethod(309) | get method for EC5Util failed, method name: convertSpec
[DEBUG] [2021-07-09 11:23:12] ContractClient.initialize(38) | create client for group1, account address is 0x0ed630ea3ac8cfe044db3f122ac3c658d902ae7b
[DEBUG] [2021-07-09 11:23:12] TransactionProcessorFactory.getChainIdAndGroupId(35) | getNodeVersion before createTransactionManager, binaryVerison: 2.7.2, supportedVersion:2.7.2
[DEBUG] [2021-07-09 11:23:12] TransactionProcessorFactory.getChainIdAndGroupId(49) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2021-07-09 11:23:12] TransactionProcessorFactory.getChainIdAndGroupId(35) | getNodeVersion before createTransactionManager, binaryVerison: 2.7.2, supportedVersion:2.7.2
[DEBUG] [2021-07-09 11:23:12] TransactionProcessorFactory.getChainIdAndGroupId(49) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2021-07-09 11:23:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d9a023e4b72c4196b27423a4ddd1fb6d, msgType : 18
[DEBUG] [2021-07-09 11:23:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-09 11:23:12] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-09 11:23:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-09 11:23:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d9a023e4b72c4196b27423a4ddd1fb6d, msgType : 4096
[DEBUG] [2021-07-09 11:23:12] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-09 11:23:12] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-09 11:23:12] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 850, groupId: 1
[DEBUG] [2021-07-09 11:23:12] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 850, nodeWithLatestBlockNumber:[127.0.0.1:20201]
[DEBUG] [2021-07-09 11:23:12] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 850, groupId: 1
[DEBUG] [2021-07-09 11:23:12] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 850, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2021-07-09 11:23:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 83d1ab123b694f8ea9fd11316196439a, msgType : 19
[DEBUG] [2021-07-09 11:23:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : bef22a81a6294875964c70f07bb95e22, msgType : 19
[DEBUG] [2021-07-09 11:23:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 6d018198b3d54b44985245a64cd96ec2, msgType : 19
[DEBUG] [2021-07-09 11:23:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 39a57fb523f8455487d7885736ebceab, msgType : 19
[DEBUG] [2021-07-09 11:23:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7046c55a8ddf4e50a40643bf5d9ca41e, msgType : 19
[DEBUG] [2021-07-09 11:23:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8a0f54a7e8aa414398f322078b521838, msgType : 19
[DEBUG] [2021-07-09 11:23:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : fc3d201117f4424995af38552da7f718, msgType : 19
[DEBUG] [2021-07-09 11:23:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 29ff959bbd7c454990c567303acbc615, msgType : 19
[DEBUG] [2021-07-09 11:23:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5cd82c8aa0db47908eda7bddfb8457aa, msgType : 19
[DEBUG] [2021-07-09 11:23:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 40a15f483ff341beb7556d29ec63bdcf, msgType : 19
[DEBUG] [2021-07-09 11:23:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a7f060903ba14bd2a814da6db17f0176, msgType : 19
[DEBUG] [2021-07-09 11:23:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0febcb7ca13245f78760b9d662628730, msgType : 19
[DEBUG] [2021-07-09 11:23:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f2d50f3381aa4e7ba0dfb6c7597385bd, msgType : 19
[DEBUG] [2021-07-09 11:23:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d8db81e8f28d418c970d3b5f04352b12, msgType : 19
[DEBUG] [2021-07-09 11:23:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 55947b60b62a49d78ac8c8df82a8689f, msgType : 19
[DEBUG] [2021-07-09 11:23:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 7306a73f8f37492b9c2d8e72122d2202, msgType : 19
[DEBUG] [2021-07-09 11:23:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0f3e5d5eea2e482282b53def05596486, msgType : 19
[DEBUG] [2021-07-09 11:23:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 858a60104f264ceca5e8e9e62fffecec, msgType : 19
[DEBUG] [2021-07-09 11:23:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 6c4da361af3c44c79a826d231b6f2a54, msgType : 19
[DEBUG] [2021-07-09 11:23:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 83d51b614cc2426ba18b5803f27b4dd0, msgType : 19
[DEBUG] [2021-07-09 11:23:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 05b9f26f9fb244f0b5848c827bd5f1fc, msgType : 19
[DEBUG] [2021-07-09 11:23:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 4978301ec9c04d3ca00c1d1c6c3a7e6e, msgType : 19
[DEBUG] [2021-07-09 11:23:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 93d522832ecf4c5ab7e4cbd37d93ae1d, msgType : 19
[DEBUG] [2021-07-09 11:23:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b6ab6c39bd2342cfa6dd074e72f1dacd, msgType : 19
[DEBUG] [2021-07-09 11:23:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 4caeee746be845e9a300357c8e20c79d, msgType : 19
[DEBUG] [2021-07-09 11:23:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 25002e773b3448d297b53d82eb8baeda, msgType : 19
[DEBUG] [2021-07-09 11:23:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 141e3180fb8040d6898c93e7c87afbfd, msgType : 19
[DEBUG] [2021-07-09 11:23:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 901716b51f774c59b443992976710323, msgType : 19
[DEBUG] [2021-07-09 11:23:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 2abd23a6bcb04a8dbf523f6c91cd438c, msgType : 19
[DEBUG] [2021-07-09 11:23:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8502136940f74550ba91ff53ab88d378, msgType : 19
[INFO] [2021-07-09 11:23:43] FrameworkServlet.initServletBean(525) | Initializing Servlet 'dispatcherServlet'
[DEBUG] [2021-07-09 11:23:43] DispatcherServlet.initMultipartResolver(520) | Detected StandardServletMultipartResolver
[DEBUG] [2021-07-09 11:23:43] DispatcherServlet.initLocaleResolver(544) | Detected AcceptHeaderLocaleResolver
[DEBUG] [2021-07-09 11:23:43] DispatcherServlet.initThemeResolver(569) | Detected FixedThemeResolver
[DEBUG] [2021-07-09 11:23:43] DispatcherServlet.initRequestToViewNameTranslator(719) | Detected org.springframework.web.servlet.view.DefaultRequestToViewNameTranslator@5febeecf
[DEBUG] [2021-07-09 11:23:43] DispatcherServlet.initFlashMapManager(783) | Detected org.springframework.web.servlet.support.SessionFlashMapManager@445e61d0
[DEBUG] [2021-07-09 11:23:43] FrameworkServlet.initServletBean(542) | enableLoggingRequestDetails='false': request parameters and headers will be masked to prevent unsafe logging of potentially sensitive data
[INFO] [2021-07-09 11:23:43] FrameworkServlet.initServletBean(547) | Completed initialization in 1 ms
[DEBUG] [2021-07-09 11:23:43] LogFormatUtils.traceDebug(91) | POST "/v1/usr/signup?user_id=seller&password=123&user_type=0", parameters={masked}
[DEBUG] [2021-07-09 11:23:43] AbstractHandlerMapping.getHandler(522) | Mapped to com.example.demo.controller.UserController#signup(String, String, int, String)
[INFO] [2021-07-09 11:23:43] ContractClient.loadContractAddr(73) |  load contract address from contract.properties, address is 0x43c163d3237577d05d549471b8837a9f6d15f68b
[DEBUG] [2021-07-09 11:23:43] TransactionProcessorFactory.getChainIdAndGroupId(35) | getNodeVersion before createTransactionManager, binaryVerison: 2.7.2, supportedVersion:2.7.2
[DEBUG] [2021-07-09 11:23:43] TransactionProcessorFactory.getChainIdAndGroupId(49) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2021-07-09 11:23:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c38001b2c27746af85813bf649e4d6ad, msgType : 18
[DEBUG] [2021-07-09 11:23:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-09 11:23:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c38001b2c27746af85813bf649e4d6ad, msgType : 4096
[DEBUG] [2021-07-09 11:23:43] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-09 11:23:43] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-09 11:23:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-09 11:23:43] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 851, groupId: 1
[DEBUG] [2021-07-09 11:23:43] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 851, nodeWithLatestBlockNumber:[127.0.0.1:20200]
[DEBUG] [2021-07-09 11:23:43] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-09 11:23:43] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 851, groupId: 1
[DEBUG] [2021-07-09 11:23:43] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 851, nodeWithLatestBlockNumber:[127.0.0.1:20200, 127.0.0.1:20201]
[DEBUG] [2021-07-09 11:23:43] AbstractMessageConverterMethodProcessor.writeWithMessageConverters(268) | Using 'application/json', given [*/*] and supported [application/json, application/*+json, application/json, application/*+json]
[DEBUG] [2021-07-09 11:23:43] LogFormatUtils.traceDebug(91) | Writing [com.example.demo.pojo.Result@51c6aae1]
