[DEBUG] [2021-07-08 17:00:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 1d23f1bb37874d1ba5a22151c80ade2e, msgType : 19
[DEBUG] [2021-07-08 17:12:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 146f3e7b471e4c6681a9f423dc2043a5, msgType : 4096
[DEBUG] [2021-07-08 17:12:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-08 17:12:09] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-08 17:12:09] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 673, groupId: 1
[DEBUG] [2021-07-08 17:12:09] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 673, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2021-07-08 17:12:09] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-08 17:12:09] AbstractMessageConverterMethodProcessor.writeWithMessageConverters(268) | Using 'application/json', given [*/*] and supported [application/json, application/*+json, application/json, application/*+json]
[DEBUG] [2021-07-08 17:12:09] LogFormatUtils.traceDebug(91) | Writing [com.example.demo.pojo.Result@3075d6e5]
[DEBUG] [2021-07-08 17:12:09] FrameworkServlet.logResult(1131) | Completed 200 OK
[DEBUG] [2021-07-08 17:12:09] LogFormatUtils.traceDebug(91) | POST "/v1/usr/signin?user_id=port&password=123&user_type=1", parameters={masked}
[DEBUG] [2021-07-08 17:12:09] AbstractHandlerMapping.getHandler(522) | Mapped to com.example.demo.controller.UserController#signin(String, String)
[INFO] [2021-07-08 17:12:09] ContractClient.loadContractAddr(73) |  load contract address from contract.properties, address is 0x682e3d54c5e403d99651e7f6aab5074dfa06a1d9
[DEBUG] [2021-07-08 17:12:09] TransactionProcessorFactory.getChainIdAndGroupId(35) | getNodeVersion before createTransactionManager, binaryVerison: 2.7.2, supportedVersion:2.7.2
[DEBUG] [2021-07-08 17:12:09] TransactionProcessorFactory.getChainIdAndGroupId(49) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2021-07-08 17:12:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e30ec8ecad1d4cacab445ed386e62677, msgType : 18
[DEBUG] [2021-07-08 17:12:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-08 17:12:09] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-08 17:12:09] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 674, groupId: 1
[DEBUG] [2021-07-08 17:12:09] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 674, nodeWithLatestBlockNumber:[127.0.0.1:20201]
[DEBUG] [2021-07-08 17:12:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-08 17:12:09] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-08 17:12:09] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 674, groupId: 1
[DEBUG] [2021-07-08 17:12:09] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 674, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2021-07-08 17:12:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e30ec8ecad1d4cacab445ed386e62677, msgType : 4096
[DEBUG] [2021-07-08 17:12:09] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-08 17:12:09] AbstractMessageConverterMethodProcessor.writeWithMessageConverters(268) | Using 'application/json', given [*/*] and supported [application/json, application/*+json, application/json, application/*+json]
[DEBUG] [2021-07-08 17:12:09] LogFormatUtils.traceDebug(91) | Writing [com.example.demo.pojo.Result@5ca56bc1]
[DEBUG] [2021-07-08 17:12:09] FrameworkServlet.logResult(1131) | Completed 200 OK
[DEBUG] [2021-07-08 17:12:10] LogFormatUtils.traceDebug(91) | POST "/v1/chain/genId?user_id=seller&token=998244360987710480", parameters={masked}
[DEBUG] [2021-07-08 17:12:10] AbstractHandlerMapping.getHandler(522) | Mapped to com.example.demo.controller.ChainController#genId(String, String)
[INFO] [2021-07-08 17:12:10] ContractClient.loadContractAddr(73) |  load contract address from contract.properties, address is 0x682e3d54c5e403d99651e7f6aab5074dfa06a1d9
[DEBUG] [2021-07-08 17:12:10] TransactionProcessorFactory.getChainIdAndGroupId(35) | getNodeVersion before createTransactionManager, binaryVerison: 2.7.2, supportedVersion:2.7.2
[DEBUG] [2021-07-08 17:12:10] TransactionProcessorFactory.getChainIdAndGroupId(49) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2021-07-08 17:12:10] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : a4fd660f91174af48120db2022c9d200, msgType : 18
[DEBUG] [2021-07-08 17:12:10] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-08 17:12:10] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-08 17:12:10] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 675, groupId: 1
[DEBUG] [2021-07-08 17:12:10] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 675, nodeWithLatestBlockNumber:[127.0.0.1:20200]
[DEBUG] [2021-07-08 17:12:10] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-08 17:12:10] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-08 17:12:10] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : a4fd660f91174af48120db2022c9d200, msgType : 4096
[DEBUG] [2021-07-08 17:12:10] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-08 17:12:10] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 675, groupId: 1
[DEBUG] [2021-07-08 17:12:10] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 675, nodeWithLatestBlockNumber:[127.0.0.1:20200, 127.0.0.1:20201]
[DEBUG] [2021-07-08 17:12:10] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c043c045c34d4dd086c691c8dc81e689, msgType : 18
[DEBUG] [2021-07-08 17:12:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-08 17:12:11] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-08 17:12:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-08 17:12:11] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-08 17:12:11] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 676, groupId: 1
[DEBUG] [2021-07-08 17:12:11] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 676, nodeWithLatestBlockNumber:[127.0.0.1:20200]
[DEBUG] [2021-07-08 17:12:11] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 676, groupId: 1
[DEBUG] [2021-07-08 17:12:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c043c045c34d4dd086c691c8dc81e689, msgType : 4096
[DEBUG] [2021-07-08 17:12:11] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 676, nodeWithLatestBlockNumber:[127.0.0.1:20200, 127.0.0.1:20201]
[DEBUG] [2021-07-08 17:12:11] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-08 17:12:11] AbstractMessageConverterMethodProcessor.writeWithMessageConverters(268) | Using 'application/json', given [*/*] and supported [application/json, application/*+json, application/json, application/*+json]
[DEBUG] [2021-07-08 17:12:11] LogFormatUtils.traceDebug(91) | Writing [com.example.demo.pojo.Result@bb4b1b0]
[DEBUG] [2021-07-08 17:12:11] FrameworkServlet.logResult(1131) | Completed 200 OK
[DEBUG] [2021-07-08 17:12:11] LogFormatUtils.traceDebug(91) | POST "/v1/chain/initHead?user_id=seller&id=1&time=20210701&location=C10&token=998244360987710480", parameters={masked}
[DEBUG] [2021-07-08 17:12:11] AbstractHandlerMapping.getHandler(522) | Mapped to com.example.demo.controller.ChainController#initHead(String, String, String, String, String)
[INFO] [2021-07-08 17:12:11] ContractClient.loadContractAddr(73) |  load contract address from contract.properties, address is 0x682e3d54c5e403d99651e7f6aab5074dfa06a1d9
[DEBUG] [2021-07-08 17:12:11] TransactionProcessorFactory.getChainIdAndGroupId(35) | getNodeVersion before createTransactionManager, binaryVerison: 2.7.2, supportedVersion:2.7.2
[DEBUG] [2021-07-08 17:12:11] TransactionProcessorFactory.getChainIdAndGroupId(49) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2021-07-08 17:12:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 23eb5bcae40046718f59cd8de2a01c6f, msgType : 18
[DEBUG] [2021-07-08 17:12:11] AbstractMessageConverterMethodProcessor.writeWithMessageConverters(268) | Using 'application/json', given [*/*] and supported [application/json, application/*+json, application/json, application/*+json]
[DEBUG] [2021-07-08 17:12:11] LogFormatUtils.traceDebug(91) | Writing [com.example.demo.pojo.Result@1e669c8c]
[DEBUG] [2021-07-08 17:12:11] FrameworkServlet.logResult(1131) | Completed 200 OK
[DEBUG] [2021-07-08 17:12:11] LogFormatUtils.traceDebug(91) | POST "/v1/chain/giveRight?from=seller&to=port&id=1&token=998244360987710480", parameters={masked}
[DEBUG] [2021-07-08 17:12:11] AbstractHandlerMapping.getHandler(522) | Mapped to com.example.demo.controller.ChainController#giveRight(String, String, String, String)
[INFO] [2021-07-08 17:12:11] ContractClient.loadContractAddr(73) |  load contract address from contract.properties, address is 0x682e3d54c5e403d99651e7f6aab5074dfa06a1d9
[DEBUG] [2021-07-08 17:12:11] TransactionProcessorFactory.getChainIdAndGroupId(35) | getNodeVersion before createTransactionManager, binaryVerison: 2.7.2, supportedVersion:2.7.2
[DEBUG] [2021-07-08 17:12:11] TransactionProcessorFactory.getChainIdAndGroupId(49) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2021-07-08 17:12:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : bfc0bf4159714a62aa24113ddf3b1b5b, msgType : 18
[DEBUG] [2021-07-08 17:12:11] AbstractMessageConverterMethodProcessor.writeWithMessageConverters(268) | Using 'application/json', given [*/*] and supported [application/json, application/*+json, application/json, application/*+json]
[DEBUG] [2021-07-08 17:12:11] LogFormatUtils.traceDebug(91) | Writing [com.example.demo.pojo.Result@150419a0]
[DEBUG] [2021-07-08 17:12:11] FrameworkServlet.logResult(1131) | Completed 200 OK
[DEBUG] [2021-07-08 17:12:11] LogFormatUtils.traceDebug(91) | POST "/v1/chain/giveRight?from=seller&to=port&id=1&token=998244360987710480", parameters={masked}
[DEBUG] [2021-07-08 17:12:11] AbstractHandlerMapping.getHandler(522) | Mapped to com.example.demo.controller.ChainController#giveRight(String, String, String, String)
[INFO] [2021-07-08 17:12:11] ContractClient.loadContractAddr(73) |  load contract address from contract.properties, address is 0x682e3d54c5e403d99651e7f6aab5074dfa06a1d9
[DEBUG] [2021-07-08 17:12:11] TransactionProcessorFactory.getChainIdAndGroupId(35) | getNodeVersion before createTransactionManager, binaryVerison: 2.7.2, supportedVersion:2.7.2
[DEBUG] [2021-07-08 17:12:11] TransactionProcessorFactory.getChainIdAndGroupId(49) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2021-07-08 17:12:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 53f1332778104df39cdb74d911fb4ef2, msgType : 18
[DEBUG] [2021-07-08 17:12:11] AbstractMessageConverterMethodProcessor.writeWithMessageConverters(268) | Using 'application/json', given [*/*] and supported [application/json, application/*+json, application/json, application/*+json]
[DEBUG] [2021-07-08 17:12:11] LogFormatUtils.traceDebug(91) | Writing [com.example.demo.pojo.Result@52bebbd2]
[DEBUG] [2021-07-08 17:12:11] FrameworkServlet.logResult(1131) | Completed 200 OK
[DEBUG] [2021-07-08 17:12:11] LogFormatUtils.traceDebug(91) | POST "/v1/chain/addNode?user_id=port&id=1&in_time=20210702&out_time=20210703&token=11464993413334988409", parameters={masked}
[DEBUG] [2021-07-08 17:12:11] AbstractHandlerMapping.getHandler(522) | Mapped to com.example.demo.controller.ChainController#addNode(String, String, String, String, String)
[INFO] [2021-07-08 17:12:11] ContractClient.loadContractAddr(73) |  load contract address from contract.properties, address is 0x682e3d54c5e403d99651e7f6aab5074dfa06a1d9
[DEBUG] [2021-07-08 17:12:11] TransactionProcessorFactory.getChainIdAndGroupId(35) | getNodeVersion before createTransactionManager, binaryVerison: 2.7.2, supportedVersion:2.7.2
[DEBUG] [2021-07-08 17:12:11] TransactionProcessorFactory.getChainIdAndGroupId(49) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2021-07-08 17:12:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b31bd1d8b1ef4b03a60c5e4d5860da07, msgType : 18
[DEBUG] [2021-07-08 17:12:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8fdb2a1fe6d844dbb87b1a3153a2508f, msgType : 18
[DEBUG] [2021-07-08 17:12:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9be0550a53354e29ad32b442379bc11a, msgType : 19
[DEBUG] [2021-07-08 17:12:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 46929a5a9d36458b992ef58607c0d2dd, msgType : 19
[DEBUG] [2021-07-08 17:12:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-08 17:12:11] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-08 17:12:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-08 17:12:11] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 677, groupId: 1
[DEBUG] [2021-07-08 17:12:11] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-08 17:12:11] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 677, nodeWithLatestBlockNumber:[127.0.0.1:20201]
[DEBUG] [2021-07-08 17:12:11] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 677, groupId: 1
[DEBUG] [2021-07-08 17:12:11] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 677, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2021-07-08 17:12:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8fdb2a1fe6d844dbb87b1a3153a2508f, msgType : 4096
[DEBUG] [2021-07-08 17:12:11] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-08 17:12:11] AbstractMessageConverterMethodProcessor.writeWithMessageConverters(268) | Using 'application/json', given [*/*] and supported [application/json, application/*+json, application/json, application/*+json]
[DEBUG] [2021-07-08 17:12:11] LogFormatUtils.traceDebug(91) | Writing [com.example.demo.pojo.Result@4be839bf]
[DEBUG] [2021-07-08 17:12:11] FrameworkServlet.logResult(1131) | Completed 200 OK
[DEBUG] [2021-07-08 17:12:11] LogFormatUtils.traceDebug(91) | POST "/v1/chain/addNode?user_id=port&id=1&in_time=20210702&out_time=20210703&token=11464993413334988409", parameters={masked}
[DEBUG] [2021-07-08 17:12:11] AbstractHandlerMapping.getHandler(522) | Mapped to com.example.demo.controller.ChainController#addNode(String, String, String, String, String)
[INFO] [2021-07-08 17:12:11] ContractClient.loadContractAddr(73) |  load contract address from contract.properties, address is 0x682e3d54c5e403d99651e7f6aab5074dfa06a1d9
[DEBUG] [2021-07-08 17:12:11] TransactionProcessorFactory.getChainIdAndGroupId(35) | getNodeVersion before createTransactionManager, binaryVerison: 2.7.2, supportedVersion:2.7.2
[DEBUG] [2021-07-08 17:12:11] TransactionProcessorFactory.getChainIdAndGroupId(49) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2021-07-08 17:12:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b27ef33fd50c491ebd5b133ba3d66d3d, msgType : 18
[DEBUG] [2021-07-08 17:12:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c6e6f27f06eb4bc99e66d0d1353895b4, msgType : 18
[DEBUG] [2021-07-08 17:12:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-08 17:12:12] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-08 17:12:12] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 678, groupId: 1
[DEBUG] [2021-07-08 17:12:12] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 678, nodeWithLatestBlockNumber:[127.0.0.1:20201]
[DEBUG] [2021-07-08 17:12:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c6e6f27f06eb4bc99e66d0d1353895b4, msgType : 4096
[DEBUG] [2021-07-08 17:12:12] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-08 17:12:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-08 17:12:12] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-08 17:12:12] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 678, groupId: 1
[DEBUG] [2021-07-08 17:12:12] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 678, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2021-07-08 17:12:12] AbstractMessageConverterMethodProcessor.writeWithMessageConverters(268) | Using 'application/json', given [*/*] and supported [application/json, application/*+json, application/json, application/*+json]
[DEBUG] [2021-07-08 17:12:12] LogFormatUtils.traceDebug(91) | Writing [com.example.demo.pojo.Result@7a5d5552]
[DEBUG] [2021-07-08 17:12:12] FrameworkServlet.logResult(1131) | Completed 200 OK
[DEBUG] [2021-07-08 17:12:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 80ef9ad8672c4c08beafee4a2b7d09f4, msgType : 19
[DEBUG] [2021-07-08 17:12:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 79cdae9634274f808bb34c64ac286733, msgType : 19
[DEBUG] [2021-07-08 17:12:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : fb97701c1de9407b81c256fd35caa932, msgType : 19
[DEBUG] [2021-07-08 17:12:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : cb774909a2c84709b3299a6b7060c09d, msgType : 19
[DEBUG] [2021-07-08 17:12:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 56deb6698ed246b4b689c6c45ef285b9, msgType : 19
[DEBUG] [2021-07-08 17:12:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : fee8f3257db1447c8eb5bc77710d6abe, msgType : 19
[DEBUG] [2021-07-08 17:12:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 89c51e622b50404595a58a14bd005e69, msgType : 19
[DEBUG] [2021-07-08 17:12:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : eb27621fabc14422aa74d39768cc6459, msgType : 19
[DEBUG] [2021-07-08 17:12:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a9039267e9cb4239a03b549465fa3ccd, msgType : 19
[DEBUG] [2021-07-08 17:12:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ac47d9f9a01647d8af463526d01b1db3, msgType : 19
[DEBUG] [2021-07-08 17:12:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 1a1b35b2a7d2482c8c0dd8ab70d678a4, msgType : 19
[DEBUG] [2021-07-08 17:12:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 76098ce0ef4546e3adfb1d35f3bce53a, msgType : 19
[DEBUG] [2021-07-08 17:12:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 4259314d45c84f02846be608cf4e322f, msgType : 19
[DEBUG] [2021-07-08 17:12:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 2974a4f22c7f4f76b1e8339de58dafa9, msgType : 19
[DEBUG] [2021-07-08 17:12:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8da8eadef16344308de7f2ca347cb21d, msgType : 19
[DEBUG] [2021-07-08 17:12:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0d393ad3b2524202a156f72afc88386f, msgType : 19
[DEBUG] [2021-07-08 17:12:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 886f865c0a574f42a3007431b6b0e271, msgType : 19
[DEBUG] [2021-07-08 17:12:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 058f005593b5407d96452fe62b62406b, msgType : 19
[DEBUG] [2021-07-08 17:12:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 0d8ee45fb59e4b1a8c05ec802d779200, msgType : 19
[DEBUG] [2021-07-08 17:12:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : efb3344e540149239f656b10c451101b, msgType : 19
[DEBUG] [2021-07-08 17:12:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 3eeff435e0904333bed9944030a87441, msgType : 19
[DEBUG] [2021-07-08 17:12:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 89bf9f2fd5534d72a16ca288ee67129a, msgType : 19
[DEBUG] [2021-07-08 17:12:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 6db0eb8f93f44573b2226cb8a2db24a4, msgType : 19
[DEBUG] [2021-07-08 17:12:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 248c81b2c5d74a38a5a01c1ceca88c84, msgType : 19
[DEBUG] [2021-07-08 17:12:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 977dd08b790f468eae7c96d429afd7df, msgType : 19
[DEBUG] [2021-07-08 17:12:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 846ceb89026245eea4ad1fe53fabc477, msgType : 19
[DEBUG] [2021-07-08 17:12:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ad0f07c24f1c4d87b372afefa3cca38a, msgType : 19
[DEBUG] [2021-07-08 17:12:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ae6da413534d49f196a2aa9debc25414, msgType : 19
[DEBUG] [2021-07-08 17:12:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 7df4b89cc37d4f33b7c66bc567da3c81, msgType : 19
[DEBUG] [2021-07-08 17:12:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 443c807d151143219edc43e11f4b3091, msgType : 19
[DEBUG] [2021-07-08 17:12:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9e5a5de63e574fe189456f3deb25c7bb, msgType : 19
[DEBUG] [2021-07-08 17:12:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b54390980eee481b9800eac3de46807b, msgType : 19
[DEBUG] [2021-07-08 17:12:45] LogFormatUtils.traceDebug(91) | POST "/v1/usr/signup?user_id=seller&password=123&user_type=0", parameters={masked}
[DEBUG] [2021-07-08 17:12:45] AbstractHandlerMapping.getHandler(522) | Mapped to com.example.demo.controller.UserController#signup(String, String, int, String)
